Brand,Product Title,SKU/Model,Product link,Description,Image
Gabol,"Juego de maletas (cabina, mediana y grande) Cloud blandas con capacidad de 210 L",,https://www.elcorteingles.es/equipaje/MP_0103861_3958114001-juego-de-maletas-cabina-mediana-y-grande-cloud-blandas-con-capacidad-de-210-l/?parentCategoryId=999.39089809013&color=Negro,Maletas,"https://dam.elcorteingles.es/producto/www-8425126150880-00.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126150880-01.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126150880-02.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126150880-03.jpg?impolicy=Fill&width=516&height=640,https://cdn.grupoelcorteingles.es/SGFM/dctm/MARKET/842/512/615/842512615088004_WWW_516x640.jpg"
Gabol,Juego de maletas (mediana y grande) Paradise rígidas con capacidad de 170 L,,https://www.elcorteingles.es/equipaje/MP_0103861_3958103505-juego-de-maletas-mediana-y-grande-paradise-rigidas-con-capacidad-de-170-l/?parentCategoryId=999.39089809013&color=Azul,Maletas,"https://dam.elcorteingles.es/producto/www-8425126082396-00.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126082396-01.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126082396-02.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126082396-03.jpg?impolicy=Fill&width=516&height=640,https://dam.elcorteingles.es/producto/www-8425126082396-04.jpg?impolicy=Fill&width=516&height=640"
El Corte Inglés,Botella Sport El Corte Inglés ECI Se Viste de Rosa,,https://www.elcorteingles.es/regalos-originales/A42225266-botella-sport-el-corte-ingles-eci-se-viste-de-rosa/?parentCategoryId=999.31547909013&color=Gris%20%2F%20Rosa,Botella Sport El Corte Inglés ECI Se Viste de Rosa.,"https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202209/06/00163610800342____12__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202209/06/00163610800342____11__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202209/06/00163610800342____10__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202208/24/00163610800342____5__640x640.jpg"
Stor,Botella Pokemon Pikachu,,https://www.elcorteingles.es/regalos-originales/A43641656-botella-pokemon-pikachu/?parentCategoryId=999.31547909013,Botella Pokemon Pikachu.,"https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202205/03/00183151100274____2__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202205/03/00183151100274____1__640x640.jpg"
Paladone,Taza De Viaje Super Mario Mario Y Luigi,,https://www.elcorteingles.es/regalos-originales/A39678170-taza-de-viaje-super-mario-mario-y-luigi/?parentCategoryId=999.31547909013,Taza De Viaje Super Mario Mario Y Luigi.,"https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202105/06/00183151000763____3__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202105/06/00183151000763____2__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202105/06/00183151000763____1__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202105/06/00183151000763____4__640x640.jpg"
Legami,Botella Térmica Legami Flora,,https://www.elcorteingles.es/regalos-originales/A39090112-botella-termica-legami-flora/?parentCategoryId=999.31547909013,Botella Térmica Legami Flora.,  //cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202103/08/00139940502949____1__640x640.jpg 
24 Bottles,Botella Plegable Stojo Lila 492ml,,https://www.elcorteingles.es/regalos-originales/A44017719-botella-plegable-stojo-lila-492ml/?parentCategoryId=999.31547909013,Botella Plegable Stojo Lila 492ml.,"https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202206/07/00139940504051____3__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202206/07/00139940504051____2__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202206/07/00139940504051____1__640x640.jpg"
Kambukka,Botella de Agua Térmica Kambukka de Acero Inoxidable Reno 500ml Sea Jellies,,https://www.elcorteingles.es/regalos-originales/A36605714-botella-de-agua-termica-kambukka-de-acero-inoxidable-reno-500ml-sea-jellies/?parentCategoryId=999.31547909013,Botella de Agua Térmica Kambukka de Acero Inoxidable Reno 500ml Sea Jellies.,"https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202008/12/00139940500406____1__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202008/12/00139940500406____2__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202008/12/00139940500406____3__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202008/12/00139940500406____4__640x640.jpg"
3M,Loseta Caucho Negra 10 x 10 cm - 4 Uds,,https://www.elcorteingles.es/bricor/A31634939-loseta-caucho-negra-10-x-10-cm-4-uds/?parentCategoryId=999.17934941013,"Blíster con 4 losetas de caucho antideslizante, antivibraciones y antiderrapante muy útil para colocar bajo muebles u objetos pesados.","https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202002/28/00117205000551____1__640x640.jpg,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202002/28/00117205000551____2__640x640.jpg"
3M,Patín Deslizante Clavar Ø 22 mm - 4 Uds,,https://www.elcorteingles.es/bricor/A31635204-patin-deslizante-clavar--22-mm-4-uds/?parentCategoryId=999.17934941013,"Patines deslizantes de plástico que, por su material, se consideran un producto básico de uso general. Se presentan en blíster de 4 unidades.",  //cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202002/28/00117205000783____1__640x640.jpg 
